,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),12:10,04h 30m,16:40,3.1,374
2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20,06h 10m,18:30,2.2,352
3,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),12:40,04h 30m,17:10,3.0,374
4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,06h 10m,19:10,2.7,352
5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
10,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
11,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
12,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
13,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
14,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,,,,,,,
15,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),00:01,06h 29m,06:30,4.7,624
16,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),11:45,05h 55m,17:40,4.7,450
17,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 40m,07:00,4.6,500
18,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,06h 15m,05:20,4.7,350
19,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,
20,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 27153,METRO LUXURY A/C,12:45,03h 05m,15:50,4.4,383
21,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 24277,Super Luxury (Non AC Seater 2+2 Push Back),13:00,03h 30m,16:30,3.8,250
22,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2540,Super Luxury (Non AC Seater 2+2 Push Back),13:15,04h 00m,17:15,3.2,281
23,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,,,,,,,
24,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,,,,,,,
25,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,,,,,,,
26,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 2662,Super Luxury (Non AC Seater 2+2 Push Back),12:45,03h 40m,16:25,2.9,281
27,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 27105,METRO LUXURY A/C,13:00,03h 30m,16:30,4.3,383
28,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,APSRTC - 2852,Super Luxury (Non AC Seater 2+2 Push Back),13:00,04h 20m,17:20,3.8,281
29,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,,,,,,,
30,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,,,,,,,
31,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,,,,,,,
32,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,,,,,,,
33,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,,,,,,,
34,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9019,Express(Non AC Seater),12:45,04h 25m,17:10,4.3,186
35,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 5390,Super Luxury (Non AC Seater 2+2 Push Back),14:00,03h 45m,17:45,4.7,256
36,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 47224,Express(Non AC Seater),14:45,03h 20m,18:05,4.2,170
37,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,,,,,,,
38,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,,,,,,,
39,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,,,,,,,
