,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165681,HVAC Seater (2+3),07:00,05h 35m,12:35,4.0,404.76
1,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165684,HVAC Seater (2+3),07:55,05h 35m,13:30,4.0,404.76
2,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165687,HVAC Seater (2+3),08:25,05h 35m,14:00,3.8,404.76
3,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165676,HVAC Seater (2+3),09:25,05h 35m,15:00,3.6,404.76
4,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,05h 35m,16:05,3.6,404.76
5,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,05h 35m,16:55,3.9,404.76
6,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,05h 35m,18:05,4.0,404.76
7,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,05h 35m,19:35,3.4,404.76
8,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,05h 35m,20:05,3.9,404.76
9,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,05h 35m,21:05,3.7,404.76
10,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,05h 35m,22:05,3.4,404.76
11,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,05h 35m,22:35,3.5,404.76
12,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),17:30,05h 35m,23:05,4.4,404.76
13,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,FlixBus,A/C Seater (2+2),00:00,29h 00m,05:00,3.8,224
14,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:30,04h 15m,04:45,4.3,569
15,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:45,04h 20m,05:05,4.5,360
16,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),00:55,04h 35m,05:30,5.0,477
17,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),01:00,04h 30m,05:30,4.6,474
18,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),01:00,05h 40m,06:40,4.5,477
19,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),01:00,04h 30m,05:30,4.1,504
20,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),21:30,06h 20m,03:50,3.6,619
21,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Northern Travels,Volvo A/C Semi Sleeper (2+2),01:00,04h 15m,05:15,3.7,539
22,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Lavish Travels,A/C Seater / Sleeper (2+2),01:15,04h 15m,05:30,3.5,519
23,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,New Himalaya Travels,Volvo A/C Semi Sleeper (2+2),01:15,05h 05m,06:20,4.2,600
24,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),01:20,04h 40m,06:00,4.1,494
25,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),01:25,04h 55m,06:20,4.4,350
26,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),01:25,04h 15m,05:40,3.1,500
27,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Volvo 9600 A/C Semi Sleeper (2+2),01:30,04h 15m,05:45,4.6,509
28,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),01:30,04h 25m,05:55,4.3,480
29,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),01:30,04h 00m,05:30,4.4,399
30,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),01:40,04h 50m,06:30,4.8,360
31,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Scania A/C Semi Sleeper (2+2),01:45,04h 30m,06:15,3.7,915
32,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),01:45,04h 55m,06:40,4.2,477
33,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Triptara tour & Travel,Scania Multi-Axle AC Semi Sleeper (2+2),01:50,05h 05m,06:55,4.5,500
34,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),01:50,04h 10m,06:00,4.1,407
35,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),01:50,04h 10m,06:00,4.7,474
36,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Volvo 9600 Multi Axle Semi-Sleeper (2+2),01:59,04h 31m,06:30,5.0,585
37,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),02:00,04h 00m,06:00,4.2,600
38,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),02:00,04h 35m,06:35,4.0,419
39,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),02:00,04h 20m,06:20,4.7,474
40,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),02:10,03h 35m,05:45,3.2,545
41,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),02:15,04h 15m,06:30,4.3,532
42,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,VE A/C Sleeper (2+1),02:15,04h 30m,06:45,4.8,475
43,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),02:20,04h 40m,07:00,5.0,513
44,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Scania A/C Semi Sleeper (2+2),02:20,04h 35m,06:55,4.0,270
45,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),02:30,04h 30m,07:00,4.0,494
46,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),02:40,05h 00m,07:40,4.8,831
47,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),03:00,04h 30m,07:30,4.5,532
48,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,FlixBus,A/C Seater (2+2),03:05,04h 50m,07:55,3.8,375
49,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),03:10,04h 50m,08:00,4.4,474
50,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),03:20,04h 10m,07:30,4.4,475
51,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),03:20,05h 10m,08:30,4.2,474
52,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),03:30,04h 30m,08:00,4.8,532
53,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),03:30,04h 00m,07:30,4.8,554
54,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),03:45,04h 30m,08:15,4.5,522
55,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),03:50,04h 40m,08:30,3.6,399
