,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.5,679
1,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Northern Travels,Bharat Benz A/C Sleeper (2+1),06:00,07h 00m,13:00,2.9,2000
2,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.1,699
3,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699
4,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,699
5,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,PRAKASH TOURISM,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),17:30,06h 05m,23:35,0.0,2200
6,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+1),04:00,02h 00m,06:00,3.0,540
7,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),05:00,01h 00m,06:00,3.8,274
8,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Moon Light Travels Katra,A/C Sleeper (2+2),05:00,02h 00m,07:00,3.9,549
9,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),05:45,03h 30m,09:15,4.3,377
10,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,City Land Travels,A/C Seater/Sleeper (2+1),08:00,01h 00m,09:00,3.6,567
11,Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),17:31,14h 29m,08:00,4.1,630
12,Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),18:20,12h 40m,07:00,3.8,3000
13,Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu,Zimindara Travels,AC Sleeper (2+1),17:10,12h 50m,06:00,3.5,949
14,Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),17:40,12h 00m,05:40,4.1,585
15,Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Chandigarh Transport Undertaking (CTU) - 165940,HVAC Seater (2+3),15:40,09h 25m,01:05,4.2,554.29
16,Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Moon Light Travels Katra,A/C Sleeper (2+1),21:15,07h 15m,04:30,4.4,584
17,Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:50,07h 10m,07:00,4.4,855
